user_id,age_bucket,income_bucket,cibil_score,employment_type,payment_streak,utilization_ratio,spending_category,account_age_months,delinquency_count,transaction_frequency,risk_tier,initial_credit_limit
USER_00025,18-25,mid,592,salaried,13,0.6943,lifestyle,43,3,24,Subprime,41940.0
USER_00026,36-50,low,839,salaried,23,0.2201,essentials,37,0,24,Prime,182854.68
USER_00027,36-50,mid,698,gig,25,0.3693,mixed,76,0,8,Near-Prime,124315.12
USER_00028,51+,mid,835,salaried,24,0.2866,mixed,30,0,30,Prime,336036.02
USER_00029,36-50,high,843,salaried,22,0.1757,lifestyle,40,0,29,Prime,318397.3
USER_00030,36-50,mid,705,self_employed,17,0.343,mixed,54,1,9,Near-Prime,94309.52
USER_00031,36-50,low,592,salaried,14,0.5883,essentials,16,1,3,Subprime,39654.17
USER_00032,51+,low,534,salaried,14,0.8184,lifestyle,24,3,7,Deep-Subprime,17285.34
USER_00033,26-35,low,751,student,0,0.4994,essentials,12,0,25,Prime,242530.46
USER_00034,36-50,high,858,salaried,23,0.5314,mixed,68,0,11,Prime,370707.65
USER_00035,51+,mid,701,self_employed,24,0.0942,lifestyle,69,1,33,Near-Prime,77048.66
USER_00036,36-50,mid,779,salaried,36,0.3005,mixed,94,0,17,Prime,284231.96
USER_00037,26-35,mid,869,salaried,22,0.0806,essentials,68,0,23,Prime,296041.45
USER_00038,51+,high,707,salaried,29,0.3796,mixed,29,0,23,Near-Prime,101875.32
USER_00039,51+,very_high,892,salaried,35,0.3865,essentials,53,0,32,Prime,487208.22
USER_00040,36-50,low,686,salaried,11,0.4542,mixed,77,0,25,Near-Prime,71633.13
USER_00041,36-50,low,666,student,2,0.4927,essentials,4,0,22,Near-Prime,70315.71
USER_00042,18-25,mid,614,salaried,6,0.5912,essentials,57,3,18,Subprime,53975.92
USER_00043,26-35,mid,634,salaried,12,0.6869,mixed,43,1,23,Subprime,53104.84
USER_00044,36-50,mid,892,self_employed,27,0.4335,mixed,101,0,18,Prime,349302.4
USER_00045,26-35,low,655,salaried,14,0.5024,essentials,60,3,21,Subprime,33205.38
USER_00046,26-35,mid,594,salaried,13,0.3113,mixed,35,1,16,Subprime,40441.39
USER_00047,36-50,mid,761,salaried,20,0.0496,lifestyle,110,1,40,Prime,293661.3
USER_00048,26-35,very_high,791,salaried,20,0.453,mixed,18,0,34,Prime,490385.01
USER_00049,51+,mid,692,salaried,26,0.1547,essentials,29,3,12,Near-Prime,98610.82
USER_00050,18-25,low,868,student,8,0.3002,essentials,13,0,35,Prime,180470.5
USER_00051,26-35,mid,784,self_employed,29,0.3681,lifestyle,52,0,25,Prime,204212.16
USER_00052,36-50,high,844,salaried,26,0.2897,lifestyle,21,0,29,Prime,430581.6
USER_00053,26-35,low,611,gig,10,0.2865,mixed,42,3,15,Subprime,45070.7
USER_00054,26-35,low,664,student,8,0.3491,mixed,1,0,27,Near-Prime,72107.84
USER_00055,36-50,mid,638,salaried,23,0.3997,lifestyle,41,0,16,Subprime,47583.46
USER_00056,26-35,low,600,gig,12,0.8041,mixed,49,3,24,Subprime,35575.24
USER_00057,51+,low,683,salaried,27,0.3299,mixed,95,0,23,Near-Prime,72774.24
USER_00058,18-25,high,759,gig,30,0.628,lifestyle,53,0,37,Near-Prime,127027.62
USER_00059,36-50,very_high,882,salaried,29,0.4523,mixed,113,0,13,Prime,403274.48
USER_00060,26-35,high,808,self_employed,22,0.1572,lifestyle,21,1,17,Prime,427135.94
USER_00061,26-35,mid,721,salaried,14,0.6347,essentials,8,2,28,Near-Prime,102858.6
USER_00062,18-25,low,698,salaried,13,0.415,lifestyle,35,0,22,Near-Prime,84480.99
USER_00063,26-35,mid,724,salaried,29,0.5208,essentials,63,0,9,Near-Prime,94610.41
USER_00064,26-35,low,634,student,5,0.7902,essentials,6,0,6,Subprime,30077.67
USER_00065,18-25,high,754,salaried,11,0.2312,mixed,8,3,13,Near-Prime,110220.7
USER_00066,18-25,mid,696,self_employed,18,0.6723,essentials,29,1,20,Near-Prime,113447.99
USER_00067,26-35,mid,727,self_employed,16,0.5359,mixed,26,4,21,Near-Prime,100151.89
USER_00068,36-50,very_high,842,salaried,24,0.0566,essentials,42,0,34,Prime,482868.52
USER_00069,26-35,very_high,900,salaried,20,0.0862,lifestyle,56,0,40,Prime,419280.62
USER_00070,36-50,low,726,salaried,14,0.8582,mixed,35,1,31,Near-Prime,81413.86
USER_00071,36-50,high,900,salaried,36,0.4398,essentials,43,0,26,Prime,426326.48
USER_00072,26-35,mid,730,salaried,22,0.352,mixed,89,0,29,Near-Prime,120501.84
USER_00073,26-35,mid,618,student,5,0.5136,essentials,6,1,21,Subprime,49171.83
USER_00074,36-50,high,856,gig,28,0.5347,mixed,68,0,31,Prime,381990.03
USER_00075,51+,mid,769,salaried,20,0.3185,essentials,90,0,22,Prime,240334.64
USER_00076,26-35,mid,830,salaried,31,0.2029,mixed,32,0,28,Prime,293862.02
USER_00077,51+,mid,834,self_employed,23,0.2585,mixed,40,0,40,Prime,214715.99
USER_00078,36-50,mid,682,self_employed,30,0.5542,mixed,58,0,32,Near-Prime,98053.22
USER_00079,36-50,very_high,732,salaried,26,0.3263,mixed,39,2,20,Near-Prime,139591.39
USER_00080,26-35,mid,605,student,4,0.1155,mixed,2,2,9,Subprime,43499.73
USER_00081,51+,mid,729,salaried,16,0.7107,mixed,19,0,10,Near-Prime,89999.86
USER_00082,18-25,mid,697,salaried,11,0.4747,lifestyle,28,0,26,Near-Prime,122570.15
USER_00083,18-25,low,623,gig,20,0.6777,mixed,16,2,17,Subprime,29867.77
USER_00084,36-50,very_high,800,salaried,33,0.1777,mixed,78,0,24,Prime,497920.53
USER_00085,18-25,mid,756,salaried,35,0.6149,mixed,62,0,14,Prime,348239.24
USER_00086,26-35,mid,870,salaried,31,0.1627,essentials,71,0,10,Prime,296516.25
USER_00087,51+,mid,665,self_employed,3,0.4975,mixed,69,0,10,Subprime,51202.71
USER_00088,51+,very_high,723,self_employed,27,0.4943,lifestyle,39,0,30,Near-Prime,133544.22
USER_00089,26-35,mid,771,salaried,27,0.1722,essentials,89,0,33,Prime,287269.2
USER_00090,26-35,low,674,salaried,24,0.5909,essentials,11,0,29,Near-Prime,79459.11
USER_00091,36-50,very_high,892,self_employed,36,0.3703,mixed,37,0,17,Prime,412657.83
USER_00092,51+,mid,695,salaried,30,0.3416,mixed,52,0,11,Near-Prime,92782.73
USER_00093,18-25,low,704,salaried,28,0.7232,essentials,73,0,30,Near-Prime,51751.38
USER_00094,26-35,high,873,salaried,23,0.339,lifestyle,65,0,30,Prime,364429.03
USER_00095,18-25,mid,806,salaried,24,0.3759,essentials,43,2,27,Prime,358690.82
USER_00096,36-50,mid,682,salaried,27,0.4296,mixed,73,0,31,Near-Prime,119158.82
USER_00097,26-35,mid,785,salaried,19,0.5155,essentials,98,0,9,Prime,275459.45
USER_00098,36-50,high,772,self_employed,25,0.4206,essentials,24,0,33,Prime,420350.18
USER_00099,26-35,mid,868,salaried,20,0.249,mixed,66,0,25,Prime,379076.89
USER_00100,18-25,low,318,student,2,0.2561,mixed,17,4,16,Deep-Subprime,17068.05
USER_00101,26-35,mid,347,student,3,0.4415,essentials,23,1,8,Deep-Subprime,28672.25
USER_00102,26-35,high,701,salaried,26,0.4836,essentials,30,0,8,Near-Prime,112128.43
USER_00103,51+,mid,845,student,12,0.877,essentials,15,0,17,Prime,227636.49
USER_00104,26-35,low,441,gig,5,0.8481,essentials,2,1,8,Deep-Subprime,21668.77
USER_00105,18-25,mid,672,gig,13,0.2758,mixed,64,2,15,Subprime,53988.43
USER_00106,26-35,very_high,685,salaried,18,0.2238,lifestyle,7,2,16,Subprime,72363.77
USER_00107,26-35,mid,703,salaried,12,0.219,lifestyle,75,0,31,Near-Prime,92494.0
USER_00108,51+,mid,881,self_employed,28,0.413,mixed,114,0,22,Prime,220483.85
USER_00109,36-50,mid,779,salaried,19,0.4537,mixed,102,2,40,Prime,331411.04
USER_00110,36-50,low,484,salaried,6,0.5305,essentials,9,4,1,Deep-Subprime,18676.67
USER_00111,26-35,mid,739,salaried,15,0.5361,essentials,75,0,20,Near-Prime,93378.28
USER_00112,26-35,high,815,salaried,33,0.4676,essentials,103,0,16,Prime,370999.45
USER_00113,36-50,high,899,salaried,30,0.406,lifestyle,88,0,22,Prime,420118.41
USER_00114,18-25,high,699,salaried,24,0.1147,mixed,79,0,27,Near-Prime,133024.42
USER_00115,51+,high,842,salaried,34,0.3558,lifestyle,118,2,13,Prime,355853.44
USER_00116,26-35,mid,633,self_employed,17,0.7821,mixed,45,1,10,Subprime,50172.93
USER_00117,18-25,low,661,salaried,11,0.554,essentials,72,4,17,Subprime,32265.6
USER_00118,36-50,mid,671,salaried,18,0.8109,essentials,45,1,14,Subprime,51585.73
USER_00119,36-50,mid,729,salaried,29,0.3651,mixed,40,0,8,Near-Prime,94566.55
USER_00120,18-25,mid,740,self_employed,24,0.3287,lifestyle,26,0,20,Near-Prime,93740.72
USER_00121,26-35,high,705,salaried,18,0.9221,mixed,54,0,28,Near-Prime,129704.41
USER_00122,36-50,mid,747,salaried,28,0.6398,essentials,37,0,28,Near-Prime,99267.96
USER_00123,26-35,high,859,gig,25,0.3347,essentials,34,0,33,Prime,294470.07
USER_00124,26-35,mid,698,salaried,10,0.4614,essentials,42,1,7,Near-Prime,92562.05
USER_00125,26-35,mid,839,salaried,22,0.3203,mixed,37,0,19,Prime,192085.87
USER_00126,26-35,mid,682,self_employed,20,0.2943,mixed,41,3,25,Near-Prime,85456.78
USER_00127,36-50,mid,779,salaried,29,0.3222,mixed,78,0,33,Prime,220690.96
USER_00128,36-50,high,843,salaried,35,0.4365,lifestyle,23,0,21,Prime,349788.25
USER_00129,36-50,mid,858,gig,30,0.2831,essentials,57,1,18,Prime,205951.41
USER_00130,26-35,high,729,salaried,28,0.678,mixed,93,0,24,Near-Prime,136685.57
USER_00131,26-35,mid,780,salaried,27,0.3651,lifestyle,105,0,37,Prime,284555.59
USER_00132,18-25,low,449,gig,1,0.98,essentials,30,5,4,Deep-Subprime,10317.17
USER_00133,36-50,low,683,student,7,0.282,essentials,12,0,28,Near-Prime,53602.61
USER_00134,51+,high,900,gig,35,0.2292,lifestyle,103,0,28,Prime,392540.68
USER_00135,26-35,high,714,self_employed,9,0.3228,mixed,18,0,14,Near-Prime,130305.36
USER_00136,26-35,low,777,salaried,35,0.2567,essentials,33,0,31,Prime,203632.92
USER_00137,26-35,low,441,gig,0,0.4213,essentials,2,3,10,Deep-Subprime,18179.23
USER_00138,18-25,mid,728,self_employed,10,0.4744,essentials,76,1,30,Near-Prime,109660.77
USER_00139,26-35,low,611,salaried,16,0.4083,mixed,52,1,16,Subprime,26528.92
USER_00140,51+,mid,766,student,1,0.3619,mixed,8,1,22,Prime,309540.89
USER_00141,26-35,low,707,salaried,29,0.4841,essentials,29,0,20,Near-Prime,70836.84
USER_00142,51+,low,704,self_employed,30,0.6111,mixed,84,0,13,Near-Prime,70070.51
USER_00143,18-25,low,331,salaried,9,0.1466,lifestyle,43,3,15,Deep-Subprime,32444.47
USER_00144,26-35,mid,731,salaried,26,0.7314,mixed,43,0,8,Near-Prime,96481.82
USER_00145,36-50,low,711,salaried,23,0.2319,essentials,60,4,28,Near-Prime,80119.65
USER_00146,18-25,mid,801,salaried,29,0.3892,lifestyle,101,0,40,Prime,236545.59
USER_00147,26-35,high,827,salaried,22,0.4035,mixed,81,1,16,Prime,284993.57
USER_00148,36-50,mid,698,self_employed,30,0.4157,mixed,86,0,12,Near-Prime,92411.36
USER_00149,36-50,high,722,self_employed,27,0.4213,mixed,61,4,20,Near-Prime,105935.77
USER_00150,36-50,mid,804,salaried,25,0.3115,lifestyle,70,0,29,Prime,354226.59
USER_00151,51+,mid,624,gig,15,0.6625,essentials,4,0,18,Subprime,33171.47
USER_00152,36-50,mid,605,salaried,6,0.4771,essentials,72,0,6,Subprime,45642.39
USER_00153,51+,mid,820,salaried,30,0.1616,essentials,82,0,36,Prime,282558.36
USER_00154,36-50,low,726,salaried,20,0.2158,essentials,62,0,15,Near-Prime,63168.27
USER_00155,26-35,very_high,900,salaried,19,0.1538,essentials,96,0,23,Prime,500000.0
USER_00156,51+,low,730,salaried,16,0.5412,mixed,48,0,22,Near-Prime,77314.54
USER_00157,26-35,high,816,salaried,20,0.2255,mixed,33,0,20,Prime,419901.86
USER_00158,51+,low,666,salaried,12,0.1949,essentials,60,0,11,Near-Prime,68097.41
USER_00159,26-35,high,637,salaried,20,0.2977,mixed,30,1,8,Subprime,59746.05
USER_00160,51+,mid,623,salaried,21,0.4274,mixed,44,5,13,Subprime,45486.09
USER_00161,26-35,mid,750,gig,30,0.2989,essentials,90,0,26,Prime,268060.22
USER_00162,26-35,low,348,gig,8,0.6402,essentials,19,2,6,Deep-Subprime,22335.26
USER_00163,36-50,mid,792,salaried,23,0.7272,mixed,19,0,13,Prime,209385.09
USER_00164,18-25,mid,807,salaried,28,0.5435,essentials,91,0,36,Prime,217363.49
USER_00165,26-35,mid,685,salaried,26,0.3427,mixed,69,0,27,Near-Prime,99128.43
USER_00166,51+,mid,837,salaried,19,0.3416,mixed,60,1,23,Prime,365749.14
USER_00167,18-25,mid,632,gig,11,0.1966,mixed,11,0,14,Subprime,54121.19
USER_00168,51+,mid,588,salaried,7,0.8278,essentials,31,4,11,Subprime,52951.0
USER_00169,36-50,high,821,gig,30,0.3285,essentials,68,0,28,Prime,369827.64
USER_00170,18-25,low,305,salaried,8,0.6753,lifestyle,13,5,9,Deep-Subprime,18441.23
USER_00171,26-35,mid,808,salaried,20,0.4069,lifestyle,34,0,16,Prime,202614.67
USER_00172,36-50,mid,704,self_employed,14,0.3069,lifestyle,40,1,31,Near-Prime,88887.34
USER_00173,26-35,very_high,849,salaried,33,0.4397,mixed,110,0,12,Prime,431373.18
USER_00174,51+,low,425,gig,8,0.5195,mixed,46,0,1,Deep-Subprime,19029.59
USER_00175,36-50,mid,854,salaried,34,0.0831,essentials,61,0,31,Prime,274146.82
USER_00176,26-35,mid,889,self_employed,23,0.2534,mixed,63,0,26,Prime,326865.55
USER_00177,51+,low,672,student,5,0.727,essentials,16,1,15,Near-Prime,50000.0
USER_00178,18-25,low,456,salaried,5,0.518,essentials,1,3,14,Deep-Subprime,16238.77
USER_00179,26-35,mid,615,salaried,12,0.5546,mixed,50,1,11,Subprime,53889.57
USER_00180,26-35,low,603,salaried,5,0.8048,lifestyle,44,2,8,Subprime,21620.13
USER_00181,18-25,mid,590,self_employed,13,0.7175,mixed,72,4,8,Subprime,45297.11
USER_00182,26-35,low,627,self_employed,10,0.5673,essentials,24,0,12,Subprime,43035.52
USER_00183,51+,low,705,gig,15,0.5446,essentials,65,0,12,Near-Prime,55754.73
USER_00184,36-50,high,775,salaried,19,0.483,essentials,43,0,26,Prime,310391.16
USER_00185,26-35,low,637,gig,11,0.278,mixed,8,3,10,Subprime,35623.74
USER_00186,51+,mid,725,self_employed,30,0.4233,mixed,91,0,31,Near-Prime,117585.77
USER_00187,51+,high,850,salaried,24,0.3843,essentials,48,0,13,Prime,276931.17
USER_00188,26-35,very_high,789,salaried,20,0.1119,essentials,100,0,23,Prime,453893.64
USER_00189,26-35,mid,664,salaried,17,0.235,essentials,14,3,12,Subprime,38383.17
USER_00190,36-50,mid,894,self_employed,26,0.5302,essentials,100,0,26,Prime,260494.6
USER_00191,18-25,low,328,salaried,9,0.285,mixed,19,3,12,Deep-Subprime,19269.19
USER_00192,36-50,high,888,self_employed,22,0.5587,mixed,101,0,25,Prime,375425.05
USER_00193,36-50,high,764,self_employed,23,0.396,mixed,60,0,12,Prime,378999.2
USER_00194,26-35,mid,675,salaried,11,0.3673,essentials,13,1,17,Subprime,44746.61
USER_00195,26-35,mid,862,salaried,36,0.582,essentials,59,0,23,Prime,291120.58
USER_00196,26-35,high,797,salaried,25,0.1499,lifestyle,38,0,38,Prime,331382.65
USER_00197,18-25,mid,702,salaried,18,0.1563,lifestyle,75,0,37,Near-Prime,94684.21
USER_00198,51+,low,593,salaried,9,0.3636,mixed,45,1,15,Subprime,29868.78
USER_00199,26-35,low,761,student,10,0.6792,mixed,7,0,40,Prime,237956.74
USER_00200,36-50,high,788,self_employed,20,0.2383,mixed,111,1,37,Prime,450393.02
USER_00201,36-50,mid,636,gig,17,0.4913,essentials,30,3,14,Subprime,44439.99
USER_00202,26-35,low,552,student,1,0.6099,mixed,15,4,13,Deep-Subprime,18171.32
USER_00203,36-50,mid,711,gig,23,0.4465,mixed,32,0,13,Near-Prime,107565.88
USER_00204,18-25,high,778,self_employed,18,0.2946,lifestyle,68,1,31,Prime,391899.71
USER_00205,26-35,mid,848,salaried,32,0.0584,essentials,29,1,31,Prime,219221.07
USER_00206,26-35,high,797,salaried,20,0.3884,mixed,38,0,25,Prime,381384.33
USER_00207,36-50,mid,889,salaried,25,0.4752,essentials,118,0,11,Prime,243504.57
USER_00208,36-50,low,670,salaried,27,0.8699,essentials,14,1,25,Near-Prime,66697.36
USER_00209,36-50,high,880,self_employed,28,0.5434,lifestyle,42,0,21,Prime,394363.36
USER_00210,26-35,mid,696,salaried,9,0.1407,essentials,54,0,25,Near-Prime,81950.84
USER_00211,18-25,mid,706,gig,18,0.5293,mixed,11,5,27,Near-Prime,104892.93
USER_00212,51+,high,750,salaried,31,0.2883,mixed,23,0,27,Near-Prime,104735.65
USER_00213,51+,high,825,salaried,28,0.101,lifestyle,81,0,26,Prime,405942.33
USER_00214,36-50,low,618,self_employed,4,0.6289,essentials,19,0,17,Subprime,26603.94
USER_00215,26-35,mid,626,salaried,13,0.8151,mixed,56,2,22,Subprime,41775.84
USER_00216,26-35,low,639,gig,5,0.5312,essentials,37,2,7,Subprime,29605.69
USER_00217,36-50,mid,831,salaried,30,0.5883,mixed,40,0,24,Prime,277972.65
USER_00218,26-35,very_high,779,salaried,32,0.4102,mixed,105,0,40,Prime,500000.0
USER_00219,18-25,low,516,student,6,0.3651,essentials,13,5,15,Deep-Subprime,16428.67
USER_00220,51+,mid,821,salaried,30,0.1309,mixed,62,0,16,Prime,280354.17
USER_00221,36-50,low,769,salaried,36,0.5081,essentials,31,0,29,Prime,187005.9
USER_00222,18-25,high,712,salaried,13,0.2085,mixed,18,0,21,Near-Prime,132114.23
USER_00223,18-25,mid,725,self_employed,19,0.2257,mixed,85,0,27,Near-Prime,83618.36
USER_00224,18-25,mid,498,salaried,11,0.528,essentials,29,4,6,Deep-Subprime,26876.15
USER_00225,26-35,high,858,gig,31,0.1956,lifestyle,110,0,40,Prime,369662.02
USER_00226,36-50,mid,561,salaried,14,0.3376,essentials,47,3,1,Deep-Subprime,26160.32
USER_00227,36-50,very_high,857,self_employed,20,0.2517,mixed,24,0,23,Prime,495896.57
USER_00228,26-35,mid,734,salaried,20,0.4013,essentials,80,3,18,Near-Prime,93907.09
USER_00229,26-35,low,683,student,7,0.3226,essentials,2,0,25,Near-Prime,72010.99
USER_00230,51+,low,862,self_employed,22,0.5122,lifestyle,86,0,25,Prime,182023.19
USER_00231,18-25,mid,862,salaried,27,0.3491,lifestyle,106,0,40,Prime,258806.92
USER_00232,26-35,high,752,self_employed,15,0.2661,mixed,50,0,28,Near-Prime,137826.6
USER_00233,51+,low,408,salaried,9,0.3286,mixed,36,3,8,Deep-Subprime,21604.08
USER_00234,18-25,mid,689,salaried,19,0.6391,essentials,90,0,8,Near-Prime,93251.43
USER_00235,36-50,very_high,518,salaried,7,0.2362,mixed,22,3,12,Deep-Subprime,40000.0
USER_00236,18-25,high,613,salaried,4,0.8563,mixed,61,2,12,Subprime,53556.99
USER_00237,36-50,low,662,student,11,0.4805,essentials,1,2,7,Near-Prime,72553.55
USER_00238,36-50,low,657,student,9,0.5156,mixed,9,2,23,Subprime,33244.09
USER_00239,26-35,low,806,salaried,30,0.4209,essentials,36,0,13,Prime,345279.28
USER_00240,51+,high,864,salaried,23,0.1062,mixed,60,0,13,Prime,345926.71
USER_00241,36-50,mid,674,salaried,6,0.5937,mixed,11,0,15,Subprime,47468.29
USER_00242,36-50,mid,598,salaried,6,0.2058,mixed,68,0,21,Subprime,45687.51
USER_00243,26-35,very_high,801,salaried,21,0.2261,lifestyle,33,0,24,Prime,500000.0
USER_00244,26-35,high,743,salaried,9,0.3782,lifestyle,15,0,27,Near-Prime,92796.7
USER_00245,26-35,mid,701,student,5,0.3974,mixed,12,3,8,Near-Prime,112004.53
USER_00246,26-35,low,578,salaried,16,0.2878,essentials,9,1,16,Subprime,33763.5
USER_00247,51+,low,683,gig,21,0.4799,essentials,81,0,19,Near-Prime,71189.24
USER_00248,51+,mid,732,self_employed,21,0.6072,mixed,42,0,24,Near-Prime,89661.52
USER_00249,36-50,high,847,salaried,20,0.386,lifestyle,92,0,31,Prime,261406.35
USER_00250,26-35,mid,725,salaried,15,0.4798,essentials,29,0,21,Near-Prime,107169.52
USER_00251,26-35,low,679,gig,25,0.3903,mixed,23,1,9,Near-Prime,65779.02
USER_00252,18-25,low,628,salaried,5,0.4005,mixed,52,2,10,Subprime,35209.25
USER_00253,26-35,very_high,746,self_employed,20,0.0468,essentials,48,0,31,Near-Prime,144428.64
USER_00254,51+,mid,896,student,11,0.3106,essentials,20,0,22,Prime,302358.33
USER_00255,51+,high,863,gig,30,0.5077,mixed,69,0,31,Prime,415415.25
USER_00256,18-25,low,657,salaried,8,0.7462,mixed,46,2,24,Subprime,25507.8
USER_00257,51+,low,641,salaried,13,0.5283,essentials,21,0,20,Subprime,26019.46
USER_00258,18-25,mid,771,salaried,19,0.3884,mixed,40,0,29,Prime,247405.06
USER_00259,51+,high,784,self_employed,33,0.3226,essentials,75,0,10,Prime,293483.99
USER_00260,26-35,mid,701,salaried,15,0.275,essentials,75,3,22,Near-Prime,90862.7
USER_00261,36-50,very_high,900,self_employed,22,0.1737,lifestyle,80,1,23,Prime,409635.49
USER_00262,36-50,mid,629,gig,17,0.1963,essentials,15,1,13,Subprime,51034.93
USER_00263,36-50,high,866,salaried,26,0.3483,lifestyle,83,0,19,Prime,381734.22
USER_00264,26-35,mid,883,salaried,33,0.6521,mixed,99,0,16,Prime,353742.83
USER_00265,51+,low,331,gig,8,0.3008,essentials,33,4,3,Deep-Subprime,18032.71
USER_00266,51+,mid,765,salaried,21,0.2827,mixed,33,0,21,Prime,217353.49
USER_00267,36-50,high,900,salaried,29,0.3412,mixed,67,0,36,Prime,481878.84
USER_00268,26-35,high,795,salaried,33,0.1849,lifestyle,93,0,31,Prime,433255.98
USER_00269,26-35,mid,890,salaried,20,0.3792,lifestyle,20,0,40,Prime,250035.65
USER_00270,26-35,mid,867,salaried,23,0.5072,essentials,45,0,38,Prime,286228.62
USER_00271,36-50,high,828,salaried,24,0.1738,essentials,102,0,18,Prime,336720.05
USER_00272,26-35,high,894,salaried,33,0.2995,mixed,69,0,13,Prime,332250.91
USER_00273,36-50,mid,898,salaried,35,0.5261,mixed,76,0,36,Prime,322445.26
USER_00274,26-35,high,762,salaried,12,0.5864,mixed,95,0,15,Near-Prime,124932.04
USER_00275,18-25,high,761,salaried,14,0.4543,mixed,71,1,16,Near-Prime,112778.42
USER_00276,26-35,mid,813,self_employed,19,0.2207,lifestyle,24,3,40,Prime,312080.23
USER_00277,26-35,high,797,salaried,30,0.4743,mixed,38,0,26,Prime,343625.21
USER_00278,36-50,high,751,salaried,22,0.8482,essentials,36,0,10,Near-Prime,123666.11
USER_00279,18-25,low,650,student,2,0.1789,essentials,24,2,16,Subprime,30118.74
USER_00280,51+,mid,635,salaried,20,0.1874,mixed,22,0,23,Subprime,45557.94
USER_00281,26-35,mid,795,salaried,34,0.5183,essentials,24,0,14,Prime,281011.53
USER_00282,18-25,high,858,salaried,27,0.1391,mixed,45,0,39,Prime,316039.55
USER_00283,36-50,very_high,865,salaried,22,0.435,mixed,22,1,32,Prime,422000.33
USER_00284,26-35,high,895,salaried,36,0.1826,essentials,39,0,13,Prime,291520.06
USER_00285,18-25,mid,730,salaried,16,0.3568,essentials,42,0,10,Near-Prime,103152.81
USER_00286,26-35,low,665,salaried,28,0.3344,mixed,40,0,9,Near-Prime,81575.33
USER_00287,26-35,high,817,salaried,36,0.3563,lifestyle,40,0,34,Prime,277866.14
USER_00288,36-50,very_high,853,self_employed,24,0.0928,mixed,50,0,23,Prime,457499.81
USER_00289,36-50,mid,706,gig,18,0.5532,mixed,92,1,27,Near-Prime,80922.24
USER_00290,26-35,high,896,salaried,34,0.1671,mixed,81,0,22,Prime,416445.58
USER_00291,26-35,mid,622,self_employed,19,0.3259,lifestyle,22,1,21,Subprime,51706.13
USER_00292,26-35,high,875,salaried,34,0.4918,mixed,41,2,22,Prime,401057.04
USER_00293,18-25,low,443,student,2,0.7012,essentials,8,0,9,Deep-Subprime,18809.63
USER_00294,36-50,high,823,salaried,24,0.244,lifestyle,25,1,32,Prime,330076.42
USER_00295,36-50,mid,589,gig,20,0.448,mixed,5,1,23,Subprime,50801.11
USER_00296,18-25,low,468,gig,8,0.3342,essentials,39,4,15,Deep-Subprime,15807.87
USER_00297,26-35,low,502,gig,11,0.5492,essentials,6,4,18,Deep-Subprime,17412.68
USER_00298,18-25,mid,640,self_employed,7,0.805,essentials,23,4,14,Subprime,50695.45
USER_00299,26-35,low,645,salaried,8,0.6561,essentials,45,4,14,Subprime,36131.89
USER_00300,26-35,mid,691,salaried,26,0.8061,lifestyle,54,1,24,Near-Prime,89786.66
